Russian;"	Jakutsk"
Russian;"	Cul'Man"
Russian;"	Ekimchan"
Russian;"	Habarovsk"
Russian;"	Troickoe"
Russian;"	Anadyr"
Russian;"	Buhta   Providenja"
Russian;"	Magadan"
Russian;"	Petropavlovsk-Kamchatskij"
Russian;"	Juzhno-Sahalinsk"
Russian;"	Vladivostok"
Russian;"	Chita"
Russian;"	Irkutsk"
Russian;"	Ust'Ordynskij"
Russian;"	Bodajbo"
Russian;"	Kirensk"
Russian;"	Nizhneudinsk"
Russian;"	Horinsk"
Russian;"	Ulan-Ude"
Russian;"	Arhangel'Sk"
Russian;"	Kotlas"
Russian;"	St.   Peterburg"
Russian;"	Murmansk"
Russian;"	Velikie   Luki"
Russian;"	Tot'Ma"
Russian;"	Vologda"
Russian;"	Barnaul"
Russian;"	Enisejsk"
Russian;"	Novosibirsk"
Russian;"	Krasnodar"
Russian;"	Mineral'Nye   Vody"
Russian;"	Rostov-Na-Donu"
Russian;"	Adler"
Russian;"	Elista"
Russian;"	Volgograd"
Russian;"	Hanty-Mansijsk"
Russian;"	Surgut"
Russian;"	Ekaterinburg"
Russian;"	Brjansk"
Russian;"	Moscow    /   Sheremet'Ye"
Russian;"	Tver"
Russian;"	Voronez"
Russian;"	Moscow    /   Vnukovo"
Russian;"	Ust',   Kulom"
Russian;"	Syktyvkar"
Russian;"	Penza"
Russian;"	Samara"
Germany;"	Berlin-Schoenefeld"
Germany;"	Dresden-Klotzsche"
Germany;"	Erfurt-Bindersleben"
Germany;"	Frankfurt   /   M-Flughafen"
Germany;"	Muenster    /   Osnabrueck"
Germany;"	Hamburg-Fuhlsbuettel"
Germany;"	Berlin-Tempelhof"
Germany;"	Koeln   /   Bonn"
Germany;"	Duesseldorf"
Germany;"	Munich    /   Riem"
Germany;"	Nuernberg"
Germany;"	Leipzig-Schkeuditz"
Germany;"	Saarbruecken    /   Ensheim"
Germany;"	Stuttgart-Echterdingen"
Germany;"	Berlin-Tegel"
Germany;"	Hannover"
Germany;"	Bremen"
Germany;"	Hahn"
Germany;"	Baden   Wurttemberg,    Neuostheim"
Germany;"	Hamburg-Finkenwerder"
Germany;"	Luebeck-Blankensee"
Germany;"	Monchengladbach"
Germany;"	Paderborn   /   Lippstadt"
Germany;"	Dortmund    /   Wickede"
Germany;"	Augsburg"
Germany;"	Oberpfaffenhofen"
Germany;"	Friedrichshafen"
Germany;"	Mecklenburg-Vorpommern,   Parchim"
Germany;"	Bayreuth"
Germany;"	Hof"
Germany;"	Konstanz"
Germany;"	Braunschweig"
Germany;"	Kassel    /   Calden"
Germany;"	Lemwerder"
Germany;"	Westerland    /   Sylt"
Germany;"	Essen"
Germany;"	Spangdahlem"
Germany;"	Ramstein"
Germany;"	Sembach   United    States    Air   Force"
Germany;"	Aachen    /   Merzbruck"
Germany;"	Ansbach   /   Katterbach"
Germany;"	Bad   Kreuznach"
Germany;"	Giebelstadt"
Germany;"	Bergen"
Germany;"	Gluecksburg   /   Meierwik"
Germany;"	Idar-Oberstein"
Germany;"	Kuemmersruck"
Germany;"	Wittstock"
Germany;"	Kalkar"
Germany;"	Messstetten"
Germany;"	Altenstadt"
Germany;"	Bueckeburg"
Germany;"	Celle"
Germany;"	Rheine-Bentlage"
Germany;"	Fritzlar"
Germany;"	Laupheim"
Germany;"	Itzehoe"
Germany;"	Mendig"
Germany;"	Niederstetten"
Germany;"	Roth"
Germany;"	Fassberg"
Germany;"	Cottbus   Flugplatz"
Germany;"	Grafenwoehr"
Germany;"	Hanau"
Germany;"	Heidelberg"
Germany;"	Hohenfels"
Germany;"	Illesheim"
Germany;"	Kitzingen   Usa   Af"
Germany;"	Eggebek"
Germany;"	Kiel-Holtenau"
Germany;"	Nordholz"
Germany;"	Diepholz"
Germany;"	Geilenkirchen"
Germany;"	Hohn"
Germany;"	Jever"
Germany;"	Laage"
Germany;"	Noervenich"
Germany;"	Hopsten"
Germany;"	Preschen"
Germany;"	Schleswig-Jagel"
Germany;"	Wittmundhaven"
Germany;"	Trollenhagen"
Germany;"	Wunstorf"
Germany;"	Coleman   Mannheim"
Germany;"	Wiesbaden"
Germany;"	Landsberg"
Germany;"	Buechel"
Germany;"	Erding"
Germany;"	Fuerstenfeldbruck"
Germany;"	Holzdorf"
Germany;"	Ingolstadt"
Germany;"	Lechfeld"
Germany;"	Memmingen"
Germany;"	Neuburg   /   Donau"
Germany;"	Pferdsfeld"
Germany;"	Laarbruch"
Germany;"	Nordhorn"
Germany;"	Guetersloh"
Germany;"	Brueggen"
Russian;"	Jakutsk"
Russian;"	Cul'Man"
Russian;"	Ekimchan"
Russian;"	Habarovsk"
Russian;"	Troickoe"
Russian;"	Anadyr"
Russian;"	Buhta   Providenja"
Russian;"	Magadan"
Russian;"	Petropavlovsk-Kamchatskij"
Russian;"	Juzhno-Sahalinsk"
Russian;"	Vladivostok"
Russian;"	Chita"
Russian;"	Irkutsk"
Russian;"	Ust'Ordynskij"
Russian;"	Bodajbo"
Russian;"	Kirensk"
Russian;"	Nizhneudinsk"
Russian;"	Horinsk"
Russian;"	Ulan-Ude"
Russian;"	Arhangel'Sk"
Russian;"	Kotlas"
Russian;"	St.   Peterburg"
Russian;"	Murmansk"
Russian;"	Velikie   Luki"
Russian;"	Tot'Ma"
Russian;"	Vologda"
Russian;"	Barnaul"
Russian;"	Enisejsk"
Russian;"	Novosibirsk"
Russian;"	Krasnodar"
Russian;"	Mineral'Nye   Vody"
Russian;"	Rostov-Na-Donu"
Russian;"	Adler"
Russian;"	Elista"
Russian;"	Volgograd"
Russian;"	Hanty-Mansijsk"
Russian;"	Surgut"
Russian;"	Ekaterinburg"
Russian;"	Brjansk"
Russian;"	Moscow    /   Sheremet'Ye"
Russian;"	Tver"
Russian;"	Voronez"
Russian;"	Moscow    /   Vnukovo"
Russian;"	Ust',   Kulom"
Russian;"	Syktyvkar"
Russian;"	Penza"
Russian;"	Samara"
Germany;"	Berlin-Schoenefeld"
Germany;"	Dresden-Klotzsche"
Germany;"	Erfurt-Bindersleben"
Germany;"	Frankfurt   /   M-Flughafen"
Germany;"	Muenster    /   Osnabrueck"
Germany;"	Hamburg-Fuhlsbuettel"
Germany;"	Berlin-Tempelhof"
Germany;"	Koeln   /   Bonn"
Germany;"	Duesseldorf"
Germany;"	Munich    /   Riem"
Germany;"	Nuernberg"
Germany;"	Leipzig-Schkeuditz"
Germany;"	Saarbruecken    /   Ensheim"
Germany;"	Stuttgart-Echterdingen"
Germany;"	Berlin-Tegel"
Germany;"	Hannover"
Germany;"	Bremen"
Germany;"	Hahn"
Germany;"	Baden   Wurttemberg,    Neuostheim"
Germany;"	Hamburg-Finkenwerder"
Germany;"	Luebeck-Blankensee"
Germany;"	Monchengladbach"
Germany;"	Paderborn   /   Lippstadt"
Germany;"	Dortmund    /   Wickede"
Germany;"	Augsburg"
Germany;"	Oberpfaffenhofen"
Germany;"	Friedrichshafen"
Germany;"	Mecklenburg-Vorpommern,   Parchim"
